State,Year,Population
New York,2004,19171567
North Carolina,2004,8553152
North Dakota,2004,644705
Ohio,2004,11452251
Oklahoma,2004,3525233
Oregon,2004,3569463
Pennsylvania,2004,12410722
Rhode Island,2004,1074579
South Carolina,2004,4210921
South Dakota,2004,770396
Tennessee,2004,5910809
Texas,2004,22394023
Utah,2004,2401580
Vermont,2004,619920
Virginia,2004,7475575
Washington,2004,6178645
West Virginia,2004,1816438
Wisconsin,2004,5514026
Wyoming,2004,509106
United States,2005,295516599
Alabama,2005,4569805
Alaska,2005,666946
Arizona,2005,5839077
Arkansas,2005,2781097
California,2005,35827943
Colorado,2005,4631888
Connecticut,2005,3506956
Delaware,2005,845150
District of Columbia,2005,567136
Florida,2005,17842038
Georgia,2005,8925922
Hawaii,2005,1292729
Idaho,2005,1428241
Illinois,2005,12609903
Indiana,2005,6278616
Iowa,2005,2964454
Kansas,2005,2745299
Kentucky,2005,4182742
Louisiana,2005,4576628
Maine,2005,1318787
Maryland,2005,5592379
Massachusetts,2005,6403290
Michigan,2005,10051137
Minnesota,2005,5119598
Mississippi,2005,2905943
Missouri,2005,5790300
Montana,2005,940102
Nebraska,2005,1761497
Nevada,2005,2432143
New Hampshire,2005,1298492
New Jersey,2005,8651974
New Mexico,2005,1932274
New York,2005,19132610
North Carolina,2005,8705407
North Dakota,2005,646089
Ohio,2005,11463320
Oklahoma,2005,3548597
Oregon,2005,3613202
Pennsylvania,2005,12449990
Rhode Island,2005,1067916
South Carolina,2005,4270150
South Dakota,2005,775493
Tennessee,2005,5991057
Texas,2005,22778123
Utah,2005,2457719
Vermont,2005,621215
Virginia,2005,7577105
Washington,2005,6257305
West Virginia,2005,1820492
Wisconsin,2005,5546166
Wyoming,2005,514157
United States,2006,298379912
Alabama,2006,4628981
Alaska,2006,675302
Arizona,2006,6029141
Arkansas,2006,2821761
California,2006,36021202
Colorado,2006,4720423
Connecticut,2006,3517460
Delaware,2006,859268
District of Columbia,2006,570681
Florida,2006,18166990
Georgia,2006,9155813
Hawaii,2006,1309731
Idaho,2006,1468669
Illinois,2006,12643955
Indiana,2006,6332669
Iowa,2006,2982644
Kansas,2006,2762931
Kentucky,2006,4219239
Louisiana,2006,4302665
Maine,2006,1323619
Maryland,2006,5627367
Massachusetts,2006,6410084
Michigan,2006,10036081
Minnesota,2006,5163555
Mississippi,2006,2904978
Missouri,2006,5842704
Montana,2006,952692
Nebraska,2006,1772693
Nevada,2006,2522658
New Hampshire,2006,1308389
New Jersey,2006,8661679
New Mexico,2006,1962137
New York,2006,19104631
North Carolina,2006,8917270
North Dakota,2006,649422
Ohio,2006,11481213
Oklahoma,2006,3594090
Oregon,2006,3670883
Pennsylvania,2006,12510809
Rhode Island,2006,1063096
South Carolina,2006,4357847
South Dakota,2006,783033
Tennessee,2006,6088766
Texas,2006,23359580
Utah,2006,2525507
Vermont,2006,622892
Virginia,2006,7673725
Washington,2006,6370753
West Virginia,2006,1827912
Wisconsin,2006,5577655
Wyoming,2006,522667
United States,2007,301231207
Alabama,2007,4672840
Alaska,2007,680300
Arizona,2007,6167681
Arkansas,2007,2848650
California,2007,36250311
Colorado,2007,4803868
Connecticut,2007,3527270
Delaware,2007,871749
District of Columbia,2007,574404
Florida,2007,18367842
Georgia,2007,9349988
Hawaii,2007,1315675
Idaho,2007,1505105
Illinois,2007,12695866
Indiana,2007,6379599
Iowa,2007,2999212
Kansas,2007,2783785
Kentucky,2007,4256672
Louisiana,2007,4375581
Maine,2007,1327040
Maryland,2007,5653408
Massachusetts,2007,6431559
Michigan,2007,10001284
Minnesota,2007,5207203
Mississippi,2007,2928350
Missouri,2007,5887612
Montana,2007,964706
Nebraska,2007,1783440
Nevada,2007,2601072
New Hampshire,2007,1312540
New Jersey,2007,8677885
New Mexico,2007,1990070
New York,2007,19132335
North Carolina,2007,9118037
North Dakota,2007,652822
Ohio,2007,11500468
Oklahoma,2007,3634349
Oregon,2007,3722417
Pennsylvania,2007,12563937
Rhode Island,2007,1057315
South Carolina,2007,4444110
South Dakota,2007,791623
Tennessee,2007,6175727
Texas,2007,23831983
Utah,2007,2597746
Vermont,2007,623481
Virginia,2007,7751000
Washington,2007,6461587
West Virginia,2007,1834052
Wisconsin,2007,5610775
Wyoming,2007,534876
United States,2008,304093966
Alabama,2008,4718206
Alaska,2008,687455
Arizona,2008,6280362
Arkansas,2008,2874554
California,2008,36604337
Colorado,2008,4889730
Connecticut,2008,3545579
Delaware,2008,883874
District of Columbia,2008,580236
Florida,2008,18527305
Georgia,2008,9504843
Hawaii,2008,1332213
Idaho,2008,1534320
Illinois,2008,12747038
Indiana,2008,6424806
Iowa,2008,3016734
Kansas,2008,2808076
Kentucky,2008,4289878
Louisiana,2008,4435586
Maine,2008,1330509
Maryland,2008,5684965
Massachusetts,2008,6468967
Michigan,2008,9946889
Minnesota,2008,5247018
Mississippi,2008,2947806
Missouri,2008,5923916
Montana,2008,976415
Nebraska,2008,1796378
Nevada,2008,2653630
New Hampshire,2008,1315906
New Jersey,2008,8711090
New Mexico,2008,2010662
New York,2008,19212436
North Carolina,2008,9309449
North Dakota,2008,657569
Ohio,2008,11515391
Oklahoma,2008,3668976
Oregon,2008,3768748
Pennsylvania,2008,12612285
Rhode Island,2008,1055003
South Carolina,2008,4528996
South Dakota,2008,799124
Tennessee,2008,6247411
Texas,2008,24309039
Utah,2008,2663029
Vermont,2008,624151
Virginia,2008,7833496
Washington,2008,6562231
West Virginia,2008,1840310
Wisconsin,2008,5640996
Wyoming,2008,546043
United States,2009,306771529
Alabama,2009,4757938
Alaska,2009,698895
Arizona,2009,6343154
Arkansas,2009,2896843
California,2009,36961229
Colorado,2009,4972195
Connecticut,2009,3561807
Delaware,2009,891730
District of Columbia,2009,592228
Florida,2009,18652644
Georgia,2009,9620846
Hawaii,2009,1346717
Idaho,2009,1554439
Illinois,2009,12796778
Indiana,2009,6459325
Iowa,2009,3032870
Kansas,2009,2832704
Kentucky,2009,4317074
Louisiana,2009,4491648
Maine,2009,1329590
Maryland,2009,5730388
Massachusetts,2009,6517613
Michigan,2009,9901591
Minnesota,2009,5281203
Mississippi,2009,2958774
Missouri,2009,5961088
Montana,2009,983982
Nebraska,2009,1812683
Nevada,2009,2684665
New Hampshire,2009,1316102
New Jersey,2009,8755602
New Mexico,2009,2036802
New York,2009,19307066
North Carolina,2009,9449566
North Dakota,2009,664968
Ohio,2009,11528896
Oklahoma,2009,3717572
Oregon,2009,3808600
Pennsylvania,2009,12666858
Rhode Island,2009,1053646
South Carolina,2009,4589872
South Dakota,2009,807067
Tennessee,2009,6306019
Texas,2009,24801761
Utah,2009,2723421
Vermont,2009,624817
Virginia,2009,7925937
Washington,2009,6667426
West Virginia,2009,1847775
Wisconsin,2009,5669264
Wyoming,2009,559851
United States,2010,309348193
Alabama,2010,4785492
Alaska,2010,714031
Arizona,2010,6408312
Arkansas,2010,2921995
California,2010,37332685
Colorado,2010,5048644
Connecticut,2010,3579899
Delaware,2010,899816
District of Columbia,2010,605183
Florida,2010,18849098
Georgia,2010,9713521
Hawaii,2010,1363945
Idaho,2010,1571010
Illinois,2010,12841578
Indiana,2010,6490528
Iowa,2010,3050738
Kansas,2010,2858850
Kentucky,2010,4348662
Louisiana,2010,4544996
Maine,2010,1327730
Maryland,2010,5788584
Massachusetts,2010,6565524
Michigan,2010,9877495
Minnesota,2010,5311147
Mississippi,2010,2970322
Missouri,2010,5996118
Montana,2010,990641
Nebraska,2010,1830051
Nevada,2010,2703284
New Hampshire,2010,1316872
New Jersey,2010,8803729
New Mexico,2010,2064756
New York,2010,19402640
North Carolina,2010,9558915
North Dakota,2010,674526
Ohio,2010,11540983
Oklahoma,2010,3759603
Oregon,2010,3838048
Pennsylvania,2010,12712343
Rhode Island,2010,1053337
South Carolina,2010,4635943
South Dakota,2010,816325
Tennessee,2010,6356671
Texas,2010,25244310
Utah,2010,2775326
Vermont,2010,625982
Virginia,2010,8025773
Washington,2010,6743226
West Virginia,2010,1854230
Wisconsin,2010,5690263
Wyoming,2010,564513
United States,2011,311663358
Alabama,2011,4799918
Alaska,2011,722713
Arizona,2011,6467163
Arkansas,2011,2939493
California,2011,37676861
Colorado,2011,5118360
Connecticut,2011,3589893
Delaware,2011,907924
District of Columbia,2011,620477
Florida,2011,19096952
Georgia,2011,9811610
Hawaii,2011,1377864
Idaho,2011,1584143
Illinois,2011,12860012
Indiana,2011,6516480
Iowa,2011,3065223
Kansas,2011,2869503
Kentucky,2011,4369354
Louisiana,2011,4575404
Maine,2011,1328231
Maryland,2011,5843603
Massachusetts,2011,6611923
Michigan,2011,9876213
Minnesota,2011,5348562
Mississippi,2011,2978162
Missouri,2011,6010717
Montana,2011,997821
Nebraska,2011,1842283
Nevada,2011,2718379
New Hampshire,2011,1318473
New Jersey,2011,8841243
New Mexico,2011,2077756
New York,2011,19519529
North Carolina,2011,9650963
North Dakota,2011,685476
Ohio,2011,11544824
Oklahoma,2011,3786274
Oregon,2011,3868031
Pennsylvania,2011,12744293
Rhode Island,2011,1052451
South Carolina,2011,4672637
South Dakota,2011,824398
Tennessee,2011,6397634
Texas,2011,25646389
Utah,2011,2816124
Vermont,2011,626730
Virginia,2011,8110035
Washington,2011,6822520
West Virginia,2011,1854972
Wisconsin,2011,5709640
Wyoming,2011,567725
United States,2012,313998379
Alabama,2012,4815960
Alaska,2012,731089
Arizona,2012,6549634
Arkansas,2012,2950685
California,2012,38011074
Colorado,2012,5189867
Connecticut,2012,3593795
Delaware,2012,916993
District of Columbia,2012,635327
Florida,2012,19344156
Georgia,2012,9914668
Hawaii,2012,1391820
Idaho,2012,1595911
Illinois,2012,12870798
Indiana,2012,6537743
Iowa,2012,3076310
Kansas,2012,2885262
Kentucky,2012,4384799
Louisiana,2012,4603429
Maine,2012,1328895
Maryland,2012,5889651
Massachusetts,2012,6658008
Michigan,2012,9887238
Minnesota,2012,5380285
Mississippi,2012,2984945
Missouri,2012,6025415
Montana,2012,1005196
Nebraska,2012,1855725
Nevada,2012,2752565
New Hampshire,2012,1321182
New Jersey,2012,8873211
New Mexico,2012,2083784
New York,2012,19602769
North Carolina,2012,9746175
North Dakota,2012,702087
Ohio,2012,11550839
Oklahoma,2012,3817054
Oregon,2012,3899116
Pennsylvania,2012,12771854
Rhode Island,2012,1052901
South Carolina,2012,4720760
South Dakota,2012,834441
Tennessee,2012,6454306
Texas,2012,26071655
Utah,2012,2855782
Vermont,2012,626444
Virginia,2012,8192048
Washington,2012,6895226
West Virginia,2012,1856560
Wisconsin,2012,5726177
Wyoming,2012,576765
United States,2013,316204908
Alabama,2013,4829479
Alaska,2013,736879
Arizona,2013,6624617
Arkansas,2013,2958663
California,2013,38335203
Colorado,2013,5267603
Connecticut,2013,3596003
Delaware,2013,925395
District of Columbia,2013,649165
Florida,2013,19582022
Georgia,2013,9984938
Hawaii,2013,1406481
Idaho,2013,1612011
Illinois,2013,12879505
Indiana,2013,6569102
Iowa,2013,3091930
Kansas,2013,2892821
Kentucky,2013,4400477
Louisiana,2013,4626402
Maine,2013,1329076
Maryland,2013,5931129
Massachusetts,2013,6706786
Michigan,2013,9898982
Minnesota,2013,5418521
Mississippi,2013,2990482
Missouri,2013,6042711
Montana,2013,1014314
Nebraska,2013,1868559
Nevada,2013,2786464
New Hampshire,2013,1322687
New Jersey,2013,8899162
New Mexico,2013,2085193
New York,2013,19673546
North Carolina,2013,9841590
North Dakota,2013,724019
Ohio,2013,11570022
Oklahoma,2013,3852415
Oregon,2013,3925751
Pennsylvania,2013,12781338
Rhode Island,2013,1053033
South Carolina,2013,4767894
South Dakota,2013,844922
Tennessee,2013,6494821
Texas,2013,26473525
Utah,2013,2902663
Vermont,2013,627140
Virginia,2013,8262692
Washington,2013,6968006
West Virginia,2013,1853231
Wisconsin,2013,5742854
Wyoming,2013,582684
United States,2014,318563456
Alabama,2014,4843214
Alaska,2014,736705
Arizona,2014,6719993
Arkansas,2014,2966912
California,2014,38680810
Colorado,2014,5349648
Connecticut,2014,3591873
Delaware,2014,934948
District of Columbia,2014,659005
Florida,2014,19888741
Georgia,2014,10087231
Hawaii,2014,1416349
Idaho,2014,1633532
Illinois,2014,12867544
Indiana,2014,6595233
Iowa,2014,3108030
Kansas,2014,2899360
Kentucky,2014,4413057
Louisiana,2014,4647880
Maine,2014,1330719
Maryland,2014,5967295
Massachusetts,2014,6749911
Michigan,2014,9915767
Minnesota,2014,5453109
Mississippi,2014,2992400
Missouri,2014,6060930
Montana,2014,1022867
Nebraska,2014,1881145
Nevada,2014,2833013
New Hampshire,2014,1328743
New Jersey,2014,8925001
New Mexico,2014,2083024
New York,2014,19718515
North Carolina,2014,9934399
North Dakota,2014,739904
Ohio,2014,11594408
Oklahoma,2014,3877499
Oregon,2014,3968371
Pennsylvania,2014,12790565
Rhode Island,2014,1054480
South Carolina,2014,4828430
South Dakota,2014,852561
Tennessee,2014,6544663
Texas,2014,26944751
Utah,2014,2941836
Vermont,2014,626984
Virginia,2014,8317372
Washington,2014,7054196
West Virginia,2014,1848514
Wisconsin,2014,5758377
Wyoming,2014,583642
United States,2015,320896618
Alabama,2015,4853875
Alaska,2015,737709
Arizona,2015,6817565
Arkansas,2015,2977853
California,2015,38993940
Colorado,2015,5448819
Connecticut,2015,3584730
Delaware,2015,944076
District of Columbia,2015,670377
Florida,2015,20244914
Georgia,2015,10199398
Hawaii,2015,1425157
Idaho,2015,1652828
Illinois,2015,12839047
Indiana,2015,6612768
Iowa,2015,3121997
Kansas,2015,2906721
Kentucky,2015,4424611
Louisiana,2015,4668960
Maine,2015,1329453
Maryland,2015,5994983
Massachusetts,2015,6784240
Michigan,2015,9917715
Minnesota,2015,5482435
Mississippi,2015,2989390
Missouri,2015,6076204
Montana,2015,1032073
Nebraska,2015,1893765
Nevada,2015,2883758
New Hampshire,2015,1330111
New Jersey,2015,8935421
New Mexico,2015,2080328
New York,2015,19747183
North Carolina,2015,10035186
North Dakota,2015,756835
Ohio,2015,11605090
Oklahoma,2015,3907414
Oregon,2015,4024634
Pennsylvania,2015,12791904
Rhode Island,2015,1055607
South Carolina,2015,4894834
South Dakota,2015,857919
Tennessee,2015,6595056
Texas,2015,27429639
Utah,2015,2990632
Vermont,2015,626088
Virginia,2015,8367587
Washington,2015,7160290
West Virginia,2015,1841053
Wisconsin,2015,5767891
Wyoming,2015,586555
United States,2016,323127513
Alabama,2016,4863300
Alaska,2016,741894
Arizona,2016,6931071
Arkansas,2016,2988248
California,2016,39250017
Colorado,2016,5540545
Connecticut,2016,3576452
Delaware,2016,952065
District of Columbia,2016,681170
Florida,2016,20612439
Georgia,2016,10310371
Hawaii,2016,1428557
Idaho,2016,1683140
Illinois,2016,12801539
Indiana,2016,6633053
Iowa,2016,3134693
Kansas,2016,2907289
Kentucky,2016,4436974
Louisiana,2016,4681666
Maine,2016,1331479
Maryland,2016,6016447
Massachusetts,2016,6811779
Michigan,2016,9928300
Minnesota,2016,5519952
Mississippi,2016,2988726
Missouri,2016,6093000
Montana,2016,1042520
Nebraska,2016,1907116
Nevada,2016,2940058
New Hampshire,2016,1334795
New Jersey,2016,8944469
New Mexico,2016,2081015
New York,2016,19745289
North Carolina,2016,10146788
North Dakota,2016,757952
Ohio,2016,11614373
Oklahoma,2016,3923561
Oregon,2016,4093465
Pennsylvania,2016,12784227
Rhode Island,2016,1056426
South Carolina,2016,4961119
South Dakota,2016,865454
Tennessee,2016,6651194
Texas,2016,27862596
Utah,2016,3051217
Vermont,2016,624594
Virginia,2016,8411808
Washington,2016,7288000
West Virginia,2016,1831102
Wisconsin,2016,5778708
Wyoming,2016,585501
Alabama,2017,4874747
Alaska,2017,739795
Arizona,2017,7016270
Arkansas,2017,3004279
California,2017,39536653
Colorado,2017,5607154
Connecticut,2017,3588184
Delaware,2017,961939
District of Columbia,2017,693972
Florida,2017,20984400
Georgia,2017,10429379
Hawaii,2017,1427538
Idaho,2017,1716943
Illinois,2017,12802023
Indiana,2017,6666818
Iowa,2017,3145711
Kansas,2017,2913123
Kentucky,2017,4454189
Louisiana,2017,4684333
Maine,2017,1335907
Maryland,2017,6052177
Massachusetts,2017,6859819
Michigan,2017,9962311
Minnesota,2017,5576606
Mississippi,2017,2984100
Missouri,2017,6113532
Montana,2017,1050493
Nebraska,2017,1920076
Nevada,2017,2998039
New Hampshire,2017,1342795
New Jersey,2017,9005644
New Mexico,2017,2088070
New York,2017,19849399
North Carolina,2017,10273419
North Dakota,2017,755393
Ohio,2017,11658609
Oklahoma,2017,3930864
Oregon,2017,4142776
Pennsylvania,2017,12805537
Rhode Island,2017,1059639
South Carolina,2017,5024369
South Dakota,2017,869666
Tennessee,2017,6715984
Texas,2017,28304596
Utah,2017,3101833
Vermont,2017,623657
Virginia,2017,8470020
Washington,2017,7405743
West Virginia,2017,1815857
Wisconsin,2017,5795483
Wyoming,2017,579315
